Lipid_name,Amine,Aldehyde,Isocyanide,Model_type,Delivery_target
AGILE_3CR_A1_C2_B4,AGILE_3CR_A1,AGILE_3CR_B4,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B5,AGILE_3CR_A1,AGILE_3CR_B5,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B6,AGILE_3CR_A1,AGILE_3CR_B6,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B7,AGILE_3CR_A1,AGILE_3CR_B7,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B8,AGILE_3CR_A1,AGILE_3CR_B8,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B9,AGILE_3CR_A1,AGILE_3CR_B9,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B10,AGILE_3CR_A1,AGILE_3CR_B10,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B11,AGILE_3CR_A1,AGILE_3CR_B11,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B12,AGILE_3CR_A1,AGILE_3CR_B12,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C3_B1,AGILE_3CR_A1,AGILE_3CR_B1,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B2,AGILE_3CR_A1,AGILE_3CR_B2,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B3,AGILE_3CR_A1,AGILE_3CR_B3,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B4,AGILE_3CR_A1,AGILE_3CR_B4,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B5,AGILE_3CR_A1,AGILE_3CR_B5,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B6,AGILE_3CR_A1,AGILE_3CR_B6,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B7,AGILE_3CR_A1,AGILE_3CR_B7,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B8,AGILE_3CR_A1,AGILE_3CR_B8,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B9,AGILE_3CR_A1,AGILE_3CR_B9,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B10,AGILE_3CR_A1,AGILE_3CR_B10,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B11,AGILE_3CR_A1,AGILE_3CR_B11,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C3_B12,AGILE_3CR_A1,AGILE_3CR_B12,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A1_C4_B1,AGILE_3CR_A1,AGILE_3CR_B1,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B2,AGILE_3CR_A1,AGILE_3CR_B2,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B3,AGILE_3CR_A1,AGILE_3CR_B3,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B4,AGILE_3CR_A1,AGILE_3CR_B4,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B5,AGILE_3CR_A1,AGILE_3CR_B5,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B6,AGILE_3CR_A1,AGILE_3CR_B6,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B7,AGILE_3CR_A1,AGILE_3CR_B7,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B8,AGILE_3CR_A1,AGILE_3CR_B8,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B9,AGILE_3CR_A1,AGILE_3CR_B9,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B10,AGILE_3CR_A1,AGILE_3CR_B10,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B11,AGILE_3CR_A1,AGILE_3CR_B11,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C4_B12,AGILE_3CR_A1,AGILE_3CR_B12,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A1_C5_B1,AGILE_3CR_A1,AGILE_3CR_B1,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B2,AGILE_3CR_A1,AGILE_3CR_B2,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B3,AGILE_3CR_A1,AGILE_3CR_B3,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B4,AGILE_3CR_A1,AGILE_3CR_B4,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B5,AGILE_3CR_A1,AGILE_3CR_B5,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B6,AGILE_3CR_A1,AGILE_3CR_B6,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B7,AGILE_3CR_A1,AGILE_3CR_B7,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B8,AGILE_3CR_A1,AGILE_3CR_B8,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B9,AGILE_3CR_A1,AGILE_3CR_B9,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B10,AGILE_3CR_A1,AGILE_3CR_B10,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B11,AGILE_3CR_A1,AGILE_3CR_B11,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A1_C5_B12,AGILE_3CR_A1,AGILE_3CR_B12,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C1_B1,AGILE_3CR_A2,AGILE_3CR_B1,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B2,AGILE_3CR_A2,AGILE_3CR_B2,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B3,AGILE_3CR_A2,AGILE_3CR_B3,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B4,AGILE_3CR_A2,AGILE_3CR_B4,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B5,AGILE_3CR_A2,AGILE_3CR_B5,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B6,AGILE_3CR_A2,AGILE_3CR_B6,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B7,AGILE_3CR_A2,AGILE_3CR_B7,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B8,AGILE_3CR_A2,AGILE_3CR_B8,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B9,AGILE_3CR_A2,AGILE_3CR_B9,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B10,AGILE_3CR_A2,AGILE_3CR_B10,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B11,AGILE_3CR_A2,AGILE_3CR_B11,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C1_B12,AGILE_3CR_A2,AGILE_3CR_B12,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A2_C2_B1,AGILE_3CR_A2,AGILE_3CR_B1,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B2,AGILE_3CR_A2,AGILE_3CR_B2,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B3,AGILE_3CR_A2,AGILE_3CR_B3,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B4,AGILE_3CR_A2,AGILE_3CR_B4,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B5,AGILE_3CR_A2,AGILE_3CR_B5,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B6,AGILE_3CR_A2,AGILE_3CR_B6,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B7,AGILE_3CR_A2,AGILE_3CR_B7,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B8,AGILE_3CR_A2,AGILE_3CR_B8,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B9,AGILE_3CR_A2,AGILE_3CR_B9,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B10,AGILE_3CR_A2,AGILE_3CR_B10,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B11,AGILE_3CR_A2,AGILE_3CR_B11,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C2_B12,AGILE_3CR_A2,AGILE_3CR_B12,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A2_C3_B1,AGILE_3CR_A2,AGILE_3CR_B1,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B2,AGILE_3CR_A2,AGILE_3CR_B2,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B3,AGILE_3CR_A2,AGILE_3CR_B3,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B4,AGILE_3CR_A2,AGILE_3CR_B4,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B5,AGILE_3CR_A2,AGILE_3CR_B5,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B6,AGILE_3CR_A2,AGILE_3CR_B6,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B7,AGILE_3CR_A2,AGILE_3CR_B7,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B8,AGILE_3CR_A2,AGILE_3CR_B8,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B9,AGILE_3CR_A2,AGILE_3CR_B9,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B10,AGILE_3CR_A2,AGILE_3CR_B10,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B11,AGILE_3CR_A2,AGILE_3CR_B11,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C3_B12,AGILE_3CR_A2,AGILE_3CR_B12,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A2_C4_B1,AGILE_3CR_A2,AGILE_3CR_B1,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B2,AGILE_3CR_A2,AGILE_3CR_B2,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B3,AGILE_3CR_A2,AGILE_3CR_B3,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B4,AGILE_3CR_A2,AGILE_3CR_B4,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B5,AGILE_3CR_A2,AGILE_3CR_B5,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B6,AGILE_3CR_A2,AGILE_3CR_B6,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B7,AGILE_3CR_A2,AGILE_3CR_B7,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B8,AGILE_3CR_A2,AGILE_3CR_B8,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B9,AGILE_3CR_A2,AGILE_3CR_B9,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B10,AGILE_3CR_A2,AGILE_3CR_B10,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B11,AGILE_3CR_A2,AGILE_3CR_B11,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C4_B12,AGILE_3CR_A2,AGILE_3CR_B12,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A2_C5_B1,AGILE_3CR_A2,AGILE_3CR_B1,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B2,AGILE_3CR_A2,AGILE_3CR_B2,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B3,AGILE_3CR_A2,AGILE_3CR_B3,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B4,AGILE_3CR_A2,AGILE_3CR_B4,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B5,AGILE_3CR_A2,AGILE_3CR_B5,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B6,AGILE_3CR_A2,AGILE_3CR_B6,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B7,AGILE_3CR_A2,AGILE_3CR_B7,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B8,AGILE_3CR_A2,AGILE_3CR_B8,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B9,AGILE_3CR_A2,AGILE_3CR_B9,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B10,AGILE_3CR_A2,AGILE_3CR_B10,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B11,AGILE_3CR_A2,AGILE_3CR_B11,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A2_C5_B12,AGILE_3CR_A2,AGILE_3CR_B12,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C1_B1,AGILE_3CR_A3,AGILE_3CR_B1,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B2,AGILE_3CR_A3,AGILE_3CR_B2,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B3,AGILE_3CR_A3,AGILE_3CR_B3,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B4,AGILE_3CR_A3,AGILE_3CR_B4,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B5,AGILE_3CR_A3,AGILE_3CR_B5,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B6,AGILE_3CR_A3,AGILE_3CR_B6,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B7,AGILE_3CR_A3,AGILE_3CR_B7,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B8,AGILE_3CR_A3,AGILE_3CR_B8,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B9,AGILE_3CR_A3,AGILE_3CR_B9,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B10,AGILE_3CR_A3,AGILE_3CR_B10,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B11,AGILE_3CR_A3,AGILE_3CR_B11,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C1_B12,AGILE_3CR_A3,AGILE_3CR_B12,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A3_C2_B1,AGILE_3CR_A3,AGILE_3CR_B1,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B2,AGILE_3CR_A3,AGILE_3CR_B2,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B3,AGILE_3CR_A3,AGILE_3CR_B3,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B4,AGILE_3CR_A3,AGILE_3CR_B4,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B5,AGILE_3CR_A3,AGILE_3CR_B5,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B6,AGILE_3CR_A3,AGILE_3CR_B6,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B7,AGILE_3CR_A3,AGILE_3CR_B7,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B8,AGILE_3CR_A3,AGILE_3CR_B8,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B9,AGILE_3CR_A3,AGILE_3CR_B9,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B10,AGILE_3CR_A3,AGILE_3CR_B10,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B11,AGILE_3CR_A3,AGILE_3CR_B11,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C2_B12,AGILE_3CR_A3,AGILE_3CR_B12,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A3_C3_B1,AGILE_3CR_A3,AGILE_3CR_B1,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B2,AGILE_3CR_A3,AGILE_3CR_B2,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B3,AGILE_3CR_A3,AGILE_3CR_B3,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B4,AGILE_3CR_A3,AGILE_3CR_B4,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B5,AGILE_3CR_A3,AGILE_3CR_B5,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B6,AGILE_3CR_A3,AGILE_3CR_B6,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B7,AGILE_3CR_A3,AGILE_3CR_B7,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B8,AGILE_3CR_A3,AGILE_3CR_B8,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B9,AGILE_3CR_A3,AGILE_3CR_B9,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B10,AGILE_3CR_A3,AGILE_3CR_B10,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B11,AGILE_3CR_A3,AGILE_3CR_B11,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C3_B12,AGILE_3CR_A3,AGILE_3CR_B12,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A3_C4_B1,AGILE_3CR_A3,AGILE_3CR_B1,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B2,AGILE_3CR_A3,AGILE_3CR_B2,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B3,AGILE_3CR_A3,AGILE_3CR_B3,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B4,AGILE_3CR_A3,AGILE_3CR_B4,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B5,AGILE_3CR_A3,AGILE_3CR_B5,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B6,AGILE_3CR_A3,AGILE_3CR_B6,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B7,AGILE_3CR_A3,AGILE_3CR_B7,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B8,AGILE_3CR_A3,AGILE_3CR_B8,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B9,AGILE_3CR_A3,AGILE_3CR_B9,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B10,AGILE_3CR_A3,AGILE_3CR_B10,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B11,AGILE_3CR_A3,AGILE_3CR_B11,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C4_B12,AGILE_3CR_A3,AGILE_3CR_B12,AGILE_3CR_C4,RAW264p7,macrophage
AGILE_3CR_A3_C5_B1,AGILE_3CR_A3,AGILE_3CR_B1,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B2,AGILE_3CR_A3,AGILE_3CR_B2,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B3,AGILE_3CR_A3,AGILE_3CR_B3,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B4,AGILE_3CR_A3,AGILE_3CR_B4,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B5,AGILE_3CR_A3,AGILE_3CR_B5,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B6,AGILE_3CR_A3,AGILE_3CR_B6,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B7,AGILE_3CR_A3,AGILE_3CR_B7,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B8,AGILE_3CR_A3,AGILE_3CR_B8,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B9,AGILE_3CR_A3,AGILE_3CR_B9,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B10,AGILE_3CR_A3,AGILE_3CR_B10,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B11,AGILE_3CR_A3,AGILE_3CR_B11,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A3_C5_B12,AGILE_3CR_A3,AGILE_3CR_B12,AGILE_3CR_C5,RAW264p7,macrophage
AGILE_3CR_A4_C1_B1,AGILE_3CR_A4,AGILE_3CR_B1,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B2,AGILE_3CR_A4,AGILE_3CR_B2,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B3,AGILE_3CR_A4,AGILE_3CR_B3,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B4,AGILE_3CR_A4,AGILE_3CR_B4,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B5,AGILE_3CR_A4,AGILE_3CR_B5,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B6,AGILE_3CR_A4,AGILE_3CR_B6,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B7,AGILE_3CR_A4,AGILE_3CR_B7,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B8,AGILE_3CR_A4,AGILE_3CR_B8,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B9,AGILE_3CR_A4,AGILE_3CR_B9,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B10,AGILE_3CR_A4,AGILE_3CR_B10,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B11,AGILE_3CR_A4,AGILE_3CR_B11,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C1_B12,AGILE_3CR_A4,AGILE_3CR_B12,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A4_C2_B1,AGILE_3CR_A4,AGILE_3CR_B1,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B2,AGILE_3CR_A4,AGILE_3CR_B2,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B3,AGILE_3CR_A4,AGILE_3CR_B3,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B4,AGILE_3CR_A4,AGILE_3CR_B4,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B5,AGILE_3CR_A4,AGILE_3CR_B5,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B6,AGILE_3CR_A4,AGILE_3CR_B6,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B7,AGILE_3CR_A4,AGILE_3CR_B7,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B8,AGILE_3CR_A4,AGILE_3CR_B8,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B9,AGILE_3CR_A4,AGILE_3CR_B9,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B10,AGILE_3CR_A4,AGILE_3CR_B10,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B11,AGILE_3CR_A4,AGILE_3CR_B11,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C2_B12,AGILE_3CR_A4,AGILE_3CR_B12,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A4_C3_B1,AGILE_3CR_A4,AGILE_3CR_B1,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A4_C3_B2,AGILE_3CR_A4,AGILE_3CR_B2,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A4_C3_B3,AGILE_3CR_A4,AGILE_3CR_B3,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A4_C3_B4,AGILE_3CR_A4,AGILE_3CR_B4,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A4_C3_B5,AGILE_3CR_A4,AGILE_3CR_B5,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A4_C3_B6,AGILE_3CR_A4,AGILE_3CR_B6,AGILE_3CR_C3,RAW264p7,macrophage
AGILE_3CR_A4_C3_B7,AGILE_3CR_A4,AGILE_3CR_B7,AGILE_3CR_C3,RAW264p7,macrophage
